Date,City,Property_Price,Occupancy_Rate,Inflation_Rate,Population_Age_65+,Population_Age_65_Growth,Median_Age,Income_Level,Proximity_to_Healthcare,Walkability_Score,Crime_Rate,Property_Tax_Rate,Public_Transport_Access,Government_Incentives,Environmental_Quality,Senior_Living_Vacancy_Rate,Mental_Health_Programs,Memory_Care_Availability
2016-09-01,Mississauga,889098,90,2.61,50344,1.33,41,43452,2,78,6,1,1,0,86.78445026150071,14.706680277938705,0,1
2016-10-01,Mississauga,982055,81,2.34,57210,1.96,45,51822,4,57,2,2,0,1,75.61505784187815,9.157748009896515,1,1
2016-11-01,Mississauga,869902,87,3.0,43686,1.36,45,51499,1,86,3,1,0,0,85.57051532725451,5.751429531775866,0,1
2016-12-01,Mississauga,840018,78,3.12,33822,2.45,41,65712,6,67,3,2,1,1,84.31051074973698,9.047058743291702,0,0
2017-01-01,Mississauga,673395,93,2.1,46492,1.62,44,66764,7,63,8,1,1,1,75.93000939453651,9.971672807176857,1,0
2017-02-01,Mississauga,1000673,92,2.34,41063,1.82,45,54181,5,77,5,2,1,1,64.37423612437915,8.972912929459056,0,1
2017-03-01,Mississauga,964589,84,3.5,39010,0.88,41,69662,5,63,6,2,1,1,60.902743328095085,6.1285814471276225,1,1
2017-04-01,Mississauga,908199,77,1.72,51029,2.18,47,25289,4,75,6,2,1,0,63.38595014338516,6.192716720397434,0,1
2017-05-01,Mississauga,949288,90,2.05,58336,1.71,44,62049,3,52,8,1,1,1,97.82694148203218,9.08927235756672,1,1
2017-06-01,Mississauga,902539,86,2.35,50349,2.09,48,39367,8,77,2,2,1,1,96.79483736522171,5.551565906017855,1,0
2017-07-01,Mississauga,968586,74,3.24,28463,0.53,42,84800,9,78,7,1,0,0,81.38218179024156,11.751298858444198,1,1
2017-08-01,Mississauga,962309,83,1.22,54349,2.67,49,54090,2,90,3,1,1,0,86.7207781005024,6.7668231417630516,1,1
2017-09-01,Mississauga,1015265,75,2.87,37826,1.51,42,45869,9,66,3,1,1,1,98.84879647541977,9.380336566976467,1,1
2017-10-01,Mississauga,845200,74,3.07,71786,3.17,44,62915,9,80,5,2,1,1,86.69404652201584,5.438468524966299,0,1
2017-11-01,Mississauga,703444,81,1.79,44129,0.99,47,38598,4,74,2,1,0,1,90.09636932848036,12.533129318792572,1,1
2017-12-01,Mississauga,906934,82,2.93,51096,2.83,45,53753,4,61,7,2,1,0,90.79089229542342,10.61355824189338,1,1
2018-01-01,Mississauga,1164201,89,3.89,55981,0.72,41,60740,7,69,2,2,1,0,72.24956980913602,13.378413809055186,0,1
2018-02-01,Mississauga,972245,76,2.78,51850,1.74,47,66791,4,61,10,2,1,0,61.966433166201924,5.310568760351556,1,1
2018-03-01,Mississauga,1022129,71,2.1,51340,1.21,44,63964,6,87,1,2,1,0,63.84503406928606,9.245726071859556,1,1
2018-04-01,Mississauga,895967,83,1.42,52330,3.24,42,49229,7,53,6,1,1,0,78.53564035218585,10.994305420276216,0,1
2018-05-01,Mississauga,1004095,74,3.06,37347,0.88,44,72335,3,85,9,1,1,0,75.66148398406517,12.133217295012724,1,1
2018-06-01,Mississauga,816302,77,2.13,53020,2.01,47,51789,3,63,4,1,1,1,95.89193982998954,10.182183156359274,1,0
2018-07-01,Mississauga,898343,79,3.77,56833,0.57,46,37836,5,76,8,1,1,0,69.34321736889437,7.6347344569384825,0,0
2018-08-01,Mississauga,925760,95,1.95,57246,1.27,40,66727,3,52,2,1,0,1,70.13975013028761,14.405373011029477,1,1
2018-09-01,Mississauga,774880,80,3.18,34675,1.85,49,57571,6,54,3,1,0,1,66.33145024236393,9.55660821553092,1,1
2018-10-01,Mississauga,943841,80,3.61,32708,0.7,45,89294,8,75,8,1,0,0,72.12878186874364,11.979904714977925,1,0
2018-11-01,Mississauga,628739,80,1.69,48505,0.91,42,51716,4,50,9,1,1,1,81.42087664343855,10.435955749112921,1,1
2018-12-01,Mississauga,790286,86,1.13,49367,2.15,49,50104,2,83,3,1,1,1,66.01981992290342,10.03570074403555,1,1
2019-01-01,Mississauga,1019930,88,2.47,49677,1.27,49,38610,3,82,1,2,0,1,75.79101267086732,9.922161832874668,1,1
2019-02-01,Mississauga,939387,83,1.15,42440,0.84,44,65407,7,78,3,1,1,0,94.13385990434895,13.634914504628183,1,0
2019-03-01,Mississauga,953741,85,2.01,56423,1.29,41,99568,4,69,4,2,1,0,75.25635239612494,6.408686039508613,1,1
2019-04-01,Mississauga,930187,93,1.84,43996,3.18,45,62095,7,83,2,1,1,0,65.15915631708661,9.684612370870866,1,0
2019-05-01,Mississauga,991022,95,2.91,48165,0.98,49,41862,9,80,8,2,0,0,87.5317199370902,7.197227501103969,1,1
2019-06-01,Mississauga,905674,90,2.36,55056,2.46,42,66544,3,63,2,1,0,1,96.3375019148906,6.04480316753958,1,1
2019-07-01,Mississauga,705266,89,1.77,59785,2.58,40,57224,7,59,7,2,1,1,78.25303695289594,13.940913692578455,1,1
2019-08-01,Mississauga,1021213,90,2.23,45084,2.98,42,38809,6,82,4,2,0,0,91.77536900371425,5.989686234087069,0,1
2019-09-01,Mississauga,913903,94,1.8,49549,0.62,47,46112,7,51,9,1,0,0,98.41065433968267,11.93169360253846,1,1
2019-10-01,Mississauga,888633,78,1.7,77800,2.4,43,44430,10,57,10,1,1,0,77.96493655721002,10.70664578980789,1,1
2019-11-01,Mississauga,989836,91,1.75,61248,2.33,46,56305,4,56,3,1,1,1,98.02425486319491,12.296784136472413,0,1
2019-12-01,Mississauga,669853,92,2.33,53577,2.1,49,60968,2,58,5,2,1,1,75.55405985896465,5.4741563614008495,1,1
2020-01-01,Mississauga,897560,89,3.31,35778,2.0,43,36148,8,60,3,2,0,1,64.71754699496934,11.549411045673216,0,0
2020-02-01,Mississauga,833535,73,3.8,46343,2.84,46,67564,10,65,7,1,1,1,81.55923497800482,7.878795033348446,0,1
2020-03-01,Mississauga,771561,94,1.07,64759,1.41,49,42945,6,83,2,2,1,0,88.4803184479265,8.849587226375572,1,1
2020-04-01,Mississauga,817819,94,1.38,43713,1.63,44,20728,1,77,5,1,1,1,79.45566512355575,7.984506611477605,1,0
2020-05-01,Mississauga,978415,71,1.28,41020,0.52,42,48509,3,87,6,1,1,0,73.40034279830783,7.072825225497356,0,1
2020-06-01,Mississauga,853873,87,1.87,43017,1.07,44,61863,9,65,7,1,0,0,72.21653994171005,6.576610267969079,0,1
2020-07-01,Mississauga,903757,79,2.52,46853,2.19,43,75558,9,58,2,2,1,1,74.38172578080014,6.258023363460513,1,1
2020-08-01,Mississauga,808951,75,2.36,54023,0.79,45,79815,7,82,7,1,1,1,60.97707531762533,9.11747667590243,0,1
2020-09-01,Mississauga,943858,93,3.39,36300,3.26,50,75981,3,89,7,2,0,0,90.33614692136813,5.2198652203932365,1,0
2020-10-01,Mississauga,874195,86,2.1,65512,1.53,41,73234,2,74,6,2,1,1,75.92348712944923,5.264469025976675,0,1
2020-11-01,Mississauga,863138,85,3.54,58070,1.82,40,60294,10,78,2,1,1,1,84.70778344754363,11.444231696298166,0,1
2020-12-01,Mississauga,819757,90,1.78,40490,0.62,42,70439,3,64,5,2,1,0,61.16682674296298,11.051016222371507,0,0
2021-01-01,Mississauga,939121,91,2.48,55818,0.89,47,55792,2,83,2,2,1,1,89.77472817215963,11.194450738181533,1,1
2021-02-01,Mississauga,759713,90,2.39,49781,1.89,48,70608,8,72,3,1,1,1,92.44650415516529,5.328254988192401,1,1
2021-03-01,Mississauga,915876,75,1.95,61560,1.35,45,55681,3,68,6,2,1,1,84.7338522818183,6.130997394238225,0,1
2021-04-01,Mississauga,924504,80,3.23,31597,1.01,42,79922,6,67,6,1,1,1,70.31758027147602,9.915142258318266,1,1
2021-05-01,Mississauga,819028,85,1.27,51878,3.38,47,70226,6,68,9,2,1,1,83.3333163995407,10.383841868964332,1,0
2021-06-01,Mississauga,996250,70,1.72,26216,1.85,50,62890,4,68,2,1,1,1,90.4281922417558,6.4986279888655165,1,0
2021-07-01,Mississauga,860662,73,3.96,42376,1.43,41,65736,2,84,10,1,1,0,85.62840898908885,9.139260580525889,0,0
2021-08-01,Mississauga,768784,86,2.25,55529,2.2,49,45951,2,81,7,1,1,1,97.79939142223373,6.416113506178993,1,1
2021-09-01,Mississauga,888868,94,3.7,52991,1.31,48,72964,4,51,3,1,1,0,94.9301742676669,12.049111327313362,0,1
2021-10-01,Mississauga,629246,86,3.87,59361,0.77,45,71654,3,57,8,1,1,1,67.4332822226137,14.779934237382346,1,1
2021-11-01,Mississauga,848409,81,1.93,40746,1.34,50,67097,1,74,9,1,0,1,88.50405629193573,11.880305189519813,0,0
2021-12-01,Mississauga,829709,94,3.77,61911,1.86,44,57797,2,67,6,1,1,1,87.20184225497079,11.35156988863935,1,0
2022-01-01,Mississauga,1043431,84,1.97,52848,0.91,49,75726,6,77,8,2,1,1,92.12182098703519,8.736502963729842,0,0
2022-02-01,Mississauga,891893,93,1.27,39552,1.72,47,86759,2,74,8,2,0,1,86.2458436738977,13.818548008206829,1,1
2022-03-01,Mississauga,728940,80,2.16,46069,1.36,43,45681,4,52,3,2,1,0,78.54191357035688,9.703240479372063,1,1
2022-04-01,Mississauga,951822,83,3.01,58197,2.72,45,57068,6,64,6,2,1,1,94.44928909041543,6.5468484818486115,1,1
2022-05-01,Mississauga,790312,86,3.63,58221,1.75,49,78029,1,74,3,2,0,1,86.96878529789588,7.2149354885964,0,1
2022-06-01,Mississauga,900879,77,3.43,47998,2.32,46,80988,8,67,3,1,1,1,77.60483083939745,5.911373390897072,1,0
2022-07-01,Mississauga,862437,76,2.75,36952,1.61,44,38641,2,85,5,1,0,1,82.16678886444001,10.588408709546666,1,0
2022-08-01,Mississauga,917853,76,3.43,35045,0.68,43,59816,2,78,6,1,0,1,67.0477762465699,11.06216642220766,0,1
2022-09-01,Mississauga,842189,76,1.56,47420,1.78,47,96618,10,74,5,2,1,1,72.91914933455232,7.372543636571373,0,1
2022-10-01,Mississauga,943713,89,2.51,51514,2.92,43,55610,7,67,9,2,1,1,95.33398804088415,9.957170100782754,0,1
2022-11-01,Mississauga,847344,92,3.17,36777,1.71,42,39791,3,80,3,1,1,1,75.64368976592883,5.799824827967548,0,1
2022-12-01,Mississauga,810120,85,2.26,43667,2.05,45,58549,2,54,2,1,1,0,70.05720608749854,6.735721441514397,1,1
2023-01-01,Mississauga,827979,75,2.48,38743,0.56,47,74202,2,82,8,1,1,0,70.18882001830195,7.6324617483054435,1,1
2023-02-01,Mississauga,905500,94,1.38,43135,0.93,49,77451,4,76,6,1,1,1,63.510916564937624,11.681806619579051,1,0
2023-03-01,Mississauga,943235,81,2.21,42828,0.91,45,58991,8,60,5,2,1,1,76.59390426242183,12.678609231258553,0,0
2023-04-01,Mississauga,792534,75,2.21,45710,2.46,47,74472,6,64,6,1,0,1,65.08729814530044,5.723483838360574,1,1
2023-05-01,Mississauga,766755,80,1.79,61712,1.53,44,61418,9,52,6,2,1,0,82.93998339740864,13.53629928527957,0,1
2023-06-01,Mississauga,1080609,70,3.2,51951,1.82,40,68062,9,69,1,2,1,0,68.57087237241038,5.644906804558463,1,1
2023-07-01,Mississauga,1034918,92,2.85,50244,0.54,47,83404,7,64,9,1,1,0,96.98604421620723,6.125041332380915,0,1
2023-08-01,Mississauga,704840,79,1.64,35976,0.6,43,91366,8,78,8,2,1,0,70.89868736132384,13.317853001851592,1,1
2023-09-01,Mississauga,978519,72,3.83,32223,1.6,49,70612,6,75,7,2,1,1,89.29162269702785,12.769463883925212,1,0
2023-10-01,Mississauga,977693,72,2.45,62905,1.83,46,60828,6,52,7,2,0,1,83.74442177785657,6.641849640563588,0,1
2023-11-01,Mississauga,763589,74,3.0,44681,2.33,46,36429,5,66,9,2,1,1,91.26092518132268,14.308076723447618,0,1
2023-12-01,Mississauga,806763,77,3.47,50122,1.52,43,58607,7,84,6,2,0,1,78.02146156268304,5.116448995030963,1,1
2010-01-01,Brampton,1053606,84,1.2,55975,0.85,46,54234,5,72,4,2,1,0,90.19490115634242,11.486950425330354,1,1
2010-02-01,Brampton,879423,70,3.09,55587,2.95,46,57653,3,58,4,1,0,1,66.61481702052744,14.777128128254999,0,1
2010-03-01,Brampton,905306,88,2.31,58653,2.39,43,70127,5,73,4,1,0,0,70.13828518692065,5.742468593305458,0,1
2010-04-01,Brampton,728397,71,2.98,56332,1.95,43,54186,6,65,6,1,1,1,73.92922558829474,12.10209848316265,0,1
2010-05-01,Brampton,1075319,73,3.54,46348,2.71,42,53463,10,60,5,1,1,1,98.1249845003186,10.167360449400643,1,1
2010-06-01,Brampton,815855,71,1.95,55923,3.08,42,61490,3,58,9,2,1,0,80.17522817195066,9.643317447951528,0,1
2010-07-01,Brampton,930973,81,2.55,54758,1.61,47,70299,8,58,4,1,1,1,73.17414096999819,6.382320867853371,0,1
2010-08-01,Brampton,974107,76,2.84,42576,1.96,47,58260,6,85,4,1,1,0,83.05622205814534,12.92003126130196,0,1
2010-09-01,Brampton,858537,74,3.43,42757,1.17,47,60645,6,68,4,1,1,1,97.51058237272898,13.621529582931217,1,1
2010-10-01,Brampton,968686,86,3.69,54502,1.75,46,58435,7,88,3,2,1,0,91.06427359185562,10.522222801738465,1,1
2010-11-01,Brampton,1136741,80,1.6,46222,3.38,45,51129,4,66,5,2,1,1,65.39143139669753,9.96075478500531,0,0
2010-12-01,Brampton,1055520,93,2.81,39609,3.23,46,85313,8,65,10,2,1,0,70.83852831484879,7.856265996835771,0,1
2011-01-01,Brampton,814618,76,3.39,43568,2.19,40,31240,2,77,7,2,1,0,98.15683215386889,13.14208767054663,1,0
2011-02-01,Brampton,752887,93,3.43,57192,3.34,44,87297,6,69,9,1,1,1,91.67626153688948,10.830186474441364,1,1
2011-03-01,Brampton,885286,71,1.99,43434,2.11,49,62745,6,61,9,2,1,1,75.35795577051891,12.368168318297002,1,0
2011-04-01,Brampton,816573,93,2.36,42250,0.56,41,80521,5,78,4,2,1,1,79.70087416082033,14.14886150121504,1,1
2011-05-01,Brampton,837408,71,2.9,40217,1.25,43,49267,3,57,8,1,1,1,87.49559650742859,11.332834823329954,1,0
2011-06-01,Brampton,1012150,77,1.84,45497,1.43,45,48660,7,65,7,1,0,1,60.948654412231626,5.7978912363400035,1,1
2011-07-01,Brampton,854453,91,3.2,52450,2.33,48,39365,6,72,6,2,1,1,95.02868146235758,13.014168109086272,1,0
2011-08-01,Brampton,852635,77,2.49,50180,2.74,41,78160,3,79,2,1,0,0,88.3329619631188,8.678471811428011,1,0
2011-09-01,Brampton,849713,86,3.18,61789,1.13,49,42122,3,88,8,1,1,1,87.82710652861356,12.657842927157244,1,1
2011-10-01,Brampton,1094353,80,1.63,52089,1.43,45,60873,7,72,9,2,0,1,90.0960981487787,13.639033162941132,1,1
2011-11-01,Brampton,868732,92,1.6,42040,0.73,48,55259,9,77,6,2,1,0,71.39410706442455,10.051640182933149,1,1
2011-12-01,Brampton,931434,90,2.74,43699,0.65,49,68611,2,60,7,1,1,0,60.474853866774374,8.00655640560744,1,1
2012-01-01,Brampton,1005221,93,1.8,50974,1.89,45,71730,4,50,1,1,1,0,87.4770966709721,7.940033885949531,1,1
2012-02-01,Brampton,808838,74,2.22,52024,1.1,45,36646,2,77,8,1,1,0,83.9272978216801,7.6440429792964535,1,1
2012-03-01,Brampton,909117,85,2.2,57882,3.35,48,71643,5,83,8,1,1,0,71.89970679970673,7.963480768805807,1,0
2012-04-01,Brampton,851607,70,3.15,43832,1.93,40,39780,10,79,4,1,1,1,65.85492266355871,6.889298137649523,1,0
2012-05-01,Brampton,994814,87,2.03,46940,2.55,40,58570,8,88,9,2,1,0,78.60141298922692,11.898960033133609,1,0
2012-06-01,Brampton,1073032,93,3.45,44412,0.84,43,55319,7,82,9,2,0,0,63.98904815413472,8.6332447556901,1,0
2012-07-01,Brampton,794079,86,2.39,44997,1.99,44,85885,6,87,4,1,0,1,71.52847873792425,6.6030903951556885,1,1
2012-08-01,Brampton,912184,72,3.09,38228,1.91,47,67028,6,66,4,2,1,1,62.98983614545262,9.606849734821338,1,0
2012-09-01,Brampton,1001594,80,2.32,45966,2.4,48,61320,3,64,4,1,1,0,65.82514954101806,5.334379855610977,1,1
2012-10-01,Brampton,855973,73,3.84,57949,2.44,48,80237,2,70,7,2,1,0,87.62804157996663,10.340277303847177,0,1
2012-11-01,Brampton,985520,82,3.47,52643,1.71,41,37010,7,80,1,1,0,1,65.78060895627802,6.339412194000004,1,1
2012-12-01,Brampton,787141,75,2.22,61765,2.03,41,51244,8,66,3,1,1,0,69.67623090367032,8.985020288039802,0,1
2013-01-01,Brampton,1018923,90,2.48,56672,1.12,47,44412,9,54,10,2,1,1,88.89244673294832,6.904569970300459,1,0
2013-02-01,Brampton,981798,80,3.22,34270,2.29,49,44212,1,65,2,2,0,1,71.44723483191629,6.989168137372247,1,0
2013-03-01,Brampton,862459,82,2.5,49512,1.46,41,82576,8,71,6,1,0,0,69.97181400018445,7.248867802255318,1,1
2013-04-01,Brampton,792000,94,1.59,61017,2.18,43,67380,3,52,4,2,0,0,88.24929994127127,12.826515628228766,1,1
2013-05-01,Brampton,790239,80,2.74,46384,3.34,41,28974,6,51,4,2,1,1,71.42100286861358,7.980425227913559,0,1
2013-06-01,Brampton,908940,94,2.32,60836,1.78,46,54998,3,80,6,2,1,0,88.62542202231049,13.000544079513714,0,0
2013-07-01,Brampton,899593,79,2.66,49587,1.06,49,47422,5,70,3,1,0,1,90.80356125016328,9.623284974592826,1,1
2013-08-01,Brampton,825751,73,3.9,45001,1.06,41,68145,2,80,5,2,1,1,87.45466426314718,5.183557243791418,0,1
2013-09-01,Brampton,944490,77,3.06,58507,2.88,43,48574,5,81,3,1,0,1,67.8961493492217,10.75520216966124,1,0
2013-10-01,Brampton,870030,94,3.84,47527,2.4,48,64998,10,57,8,1,0,1,91.75343648594466,9.648498037040522,1,1
2013-11-01,Brampton,1063721,79,2.18,35686,2.59,49,83141,2,58,6,1,0,1,60.59844793025203,7.645462862260417,1,1
2013-12-01,Brampton,924348,93,2.94,57094,2.85,42,57892,2,77,6,2,1,1,99.45528686515568,10.335897301104087,0,1
2014-01-01,Brampton,981003,94,3.09,42751,2.29,45,38891,7,80,7,1,1,1,79.02816312756225,10.36623279735494,1,1
2014-02-01,Brampton,770190,80,3.69,47096,2.69,48,66662,9,90,4,2,0,1,93.91886773250361,8.676580460591083,1,1
2014-03-01,Brampton,919341,71,2.72,50597,3.09,45,61710,4,56,9,2,1,1,87.71887175094669,5.050255033653119,1,0
2014-04-01,Brampton,820654,93,1.52,51443,1.29,42,32494,6,54,2,1,1,1,76.91505873867115,10.657515642245823,0,1
2014-05-01,Brampton,915516,92,3.41,46017,1.05,43,53270,8,79,8,1,1,1,93.23689963287401,5.415959562564695,0,1
2014-06-01,Brampton,923426,74,2.68,48064,3.03,40,71169,3,51,4,2,0,1,78.05983756477777,14.384682123658125,0,0
2014-07-01,Brampton,893711,77,3.61,45521,2.31,46,46627,5,90,9,2,1,0,69.09793016259198,5.031216513564097,0,0
2014-08-01,Brampton,906970,82,3.03,53602,3.32,41,68120,1,76,4,1,1,0,80.4574562520635,9.401484472241325,1,1
2014-09-01,Brampton,758373,74,2.05,43572,2.73,48,42668,6,73,5,2,1,1,88.62023818484515,6.096281944034398,1,0
2014-10-01,Brampton,972508,72,3.93,36799,1.96,48,56419,10,75,4,2,1,1,94.81601852423347,10.58231750279661,0,0
2014-11-01,Brampton,706457,82,3.46,44508,0.87,49,39898,4,63,3,2,1,1,61.28438321928233,11.438679275551262,1,1
2014-12-01,Brampton,851432,92,3.19,47879,2.01,40,68133,1,60,2,1,0,0,96.37216585624198,5.082231313888915,1,0
2015-01-01,Brampton,1031061,70,3.95,61711,3.13,49,41152,9,62,6,1,1,0,68.99587222921629,10.58134158128215,1,1
2015-02-01,Brampton,1028920,76,1.0,48254,3.21,44,80403,6,69,5,2,1,0,70.32632670633913,5.377473169674333,1,0
2015-03-01,Brampton,941157,87,3.26,40586,2.01,49,38767,10,61,3,1,0,1,83.53734225665698,10.569520916641753,1,1
2015-04-01,Brampton,997787,71,2.84,43695,2.77,42,84556,3,56,4,2,1,0,83.56474943920946,12.208163164749156,0,0
2015-05-01,Brampton,907992,95,2.01,53209,2.61,42,61283,4,57,3,1,1,1,63.769722656181024,6.716939931284912,0,1
2015-06-01,Brampton,728429,72,3.26,53248,0.72,48,68709,5,84,6,2,1,0,84.95782299045553,9.603213900573984,0,0
2015-07-01,Brampton,932699,84,2.66,41649,0.6,45,57414,7,81,8,2,1,0,95.54772859139193,7.402271663955453,0,0
2015-08-01,Brampton,971473,90,2.25,42671,3.2,48,48897,6,75,5,1,1,0,76.73787158864911,8.445619079878753,1,1
2015-09-01,Brampton,785806,83,1.73,50599,1.05,41,53776,7,79,7,1,1,0,85.60195187720225,9.947943549418735,1,1
2015-10-01,Brampton,1050195,74,1.41,35581,0.56,49,74189,3,87,7,2,0,0,80.85071015296263,6.720998526498621,0,1
2015-11-01,Brampton,857631,90,1.5,45108,0.59,46,62745,9,81,7,1,1,0,87.1578169712268,12.250960188976508,1,0
2015-12-01,Brampton,800847,70,2.64,59475,1.08,43,70120,6,63,9,1,1,1,90.92360566468449,8.326729865303239,1,0
2016-01-01,Brampton,754124,82,1.95,52351,1.3,50,66605,10,51,7,1,0,1,97.40871240683501,5.117650943669977,1,1
2016-02-01,Brampton,847903,92,1.25,61535,2.51,49,77439,8,52,5,1,1,1,75.3677673970391,9.323338998786653,1,0
2016-03-01,Brampton,896168,86,3.49,58188,1.58,44,33647,9,83,2,1,1,0,84.7637238108448,6.436916072617339,1,0
2016-04-01,Brampton,773102,78,3.03,54187,3.12,44,59790,1,84,9,2,0,1,70.34336886211095,12.2420491280837,1,0
2016-05-01,Brampton,872699,94,1.84,55850,3.36,41,64218,5,59,7,1,1,0,98.22485519125425,5.286311938356528,0,0
2016-06-01,Brampton,1083256,80,1.7,60845,2.64,46,59622,2,78,2,2,0,1,74.01880809271711,13.588139146748567,0,1
2016-07-01,Brampton,943595,93,2.3,42381,1.96,49,33478,6,78,2,2,1,0,91.44730676792852,8.769499716862722,0,1
2016-08-01,Brampton,1199281,92,3.66,45292,2.3,46,76818,4,86,6,1,1,1,67.13593007714324,10.13069422863438,1,1
2016-09-01,Brampton,968234,76,3.59,59466,3.18,42,61615,7,72,1,2,1,1,80.10559219902142,9.918113223224559,0,0
2016-10-01,Brampton,999822,74,1.59,56123,2.33,42,36608,8,81,3,1,1,1,87.91188132250096,5.822332215106005,1,1
2016-11-01,Brampton,877927,85,1.98,36673,2.84,48,73815,2,84,2,1,1,1,96.31562401651331,8.631891960908492,0,1
2016-12-01,Brampton,852028,81,2.03,60561,3.06,50,71824,3,79,5,2,1,1,89.15608543163,14.524913004343246,1,1
2017-01-01,Brampton,882613,76,2.11,63386,0.56,45,110661,10,86,2,1,1,0,91.93983854415652,10.24037669867587,1,1
2017-02-01,Brampton,967651,90,1.4,44814,1.38,41,85775,5,64,3,2,1,0,61.97789746717389,13.48752700565235,0,1
2017-03-01,Brampton,752334,76,1.03,60578,1.21,41,43142,6,74,4,1,0,0,89.56498668546185,8.180097048142981,1,1
2017-04-01,Brampton,937805,81,2.54,39959,0.86,46,74166,4,68,7,1,1,1,89.59185487744396,12.0593661771162,1,1
2017-05-01,Brampton,881277,80,3.29,60327,2.25,41,72472,10,52,6,1,1,0,82.50616478685237,9.790407256746136,0,1
2017-06-01,Brampton,979809,88,3.3,48123,3.36,49,72609,4,56,5,1,1,1,89.999479375199,10.098899482056101,0,1
2017-07-01,Brampton,883993,71,3.12,47566,3.05,44,62252,7,84,4,1,1,1,99.05931104803483,14.018383164416711,0,1
2017-08-01,Brampton,971248,80,3.97,75836,2.09,43,40047,2,86,8,1,1,1,76.36575151670489,7.5402114909556275,1,1
2017-09-01,Brampton,1119345,72,2.42,59557,1.08,42,69829,5,58,7,2,1,1,81.46218684043197,12.518762443691909,0,1
2017-10-01,Brampton,925700,80,2.53,48157,1.57,43,56912,7,86,10,2,1,1,68.3330778744016,10.246884120934773,1,1
2017-11-01,Brampton,841075,79,3.88,37466,1.83,48,47439,6,86,5,2,0,0,95.65815492578997,13.476811979622166,1,1
2017-12-01,Brampton,989580,93,3.48,52339,1.65,49,77475,5,72,5,2,1,0,95.28192744030795,9.443938189157699,1,0
2018-01-01,Brampton,842179,93,1.65,52951,1.11,42,64309,3,61,5,2,0,1,77.57792893171681,7.978473483600218,1,0
2018-02-01,Brampton,994372,90,1.73,47118,3.37,42,62257,9,82,10,1,1,0,67.37472952078775,9.430759329334489,0,1
2018-03-01,Brampton,918807,86,2.61,41488,2.49,41,33667,9,80,10,1,0,0,60.44618349247322,7.423257302463214,1,0
2018-04-01,Brampton,945391,83,3.66,41356,1.62,45,83843,3,75,4,2,1,1,74.56808890598064,7.099318316734844,1,1
2018-05-01,Brampton,834162,74,3.33,44055,1.19,45,93215,9,85,5,1,1,1,82.31059036392247,11.513361058002054,0,1
2018-06-01,Brampton,765229,75,3.25,62667,0.64,44,45434,7,59,8,2,1,0,79.2980588152447,10.973493009778531,1,1
2018-07-01,Brampton,762759,75,1.02,46944,1.4,47,50995,10,70,9,2,1,0,68.79964507587722,5.088148332944726,1,1
2018-08-01,Brampton,959354,90,2.02,47664,1.02,43,63030,5,64,8,1,1,1,62.67188309048688,14.423435076713574,1,0
2018-09-01,Brampton,811804,89,2.79,35573,2.43,48,69578,9,78,3,1,1,0,98.18550053440222,6.285772607968784,1,1
2018-10-01,Brampton,1069762,71,3.77,50813,1.19,41,77683,4,60,6,2,1,1,86.0351534998311,9.752465265872004,1,1
2018-11-01,Brampton,859879,73,3.57,57096,2.26,49,24683,7,82,4,2,1,0,92.56267623805067,11.06109599852973,1,1
2018-12-01,Brampton,901825,73,2.52,27442,0.7,46,66465,6,61,9,1,1,1,64.00927512705144,14.321617192136323,0,0
2019-01-01,Brampton,1045483,83,3.08,33636,0.67,43,53456,7,56,2,1,0,0,80.5753298604408,10.887594635650096,1,1
2019-02-01,Brampton,1004812,85,2.24,24910,3.03,42,48469,1,76,3,2,1,0,64.25553621656309,9.951715922466663,1,0
2019-03-01,Brampton,969371,78,1.08,65845,2.75,42,55744,6,85,9,1,0,1,77.32320814408524,6.920419935590041,1,0
2019-04-01,Brampton,1019047,71,1.06,65154,1.43,43,77197,4,77,2,2,0,1,66.86090775148747,12.715464573123775,0,0
2019-05-01,Brampton,1061704,84,3.56,42296,1.45,45,26956,9,57,2,2,1,0,75.62869769018496,14.465638429787438,0,1
2019-06-01,Brampton,877943,89,2.34,50683,1.87,46,61895,7,74,9,1,0,0,61.51131872258381,5.430139643800553,1,1
2019-07-01,Brampton,1012094,91,2.44,65696,3.11,44,63112,3,73,6,1,1,0,62.093950672384096,14.486561577065649,1,1
2019-08-01,Brampton,944568,87,2.07,70372,3.38,43,62206,9,87,7,2,1,1,88.111315086639,5.420057674188119,1,1
2019-09-01,Brampton,1134562,74,2.41,35999,2.99,40,83880,8,88,6,1,1,1,82.97713932012579,11.956402157189359,1,1
2019-10-01,Brampton,841226,79,3.14,48882,1.72,42,53210,1,55,7,2,1,0,83.97516889044407,14.37144966815122,0,1
2019-11-01,Brampton,869049,92,3.44,51920,0.6,41,57925,6,71,3,2,1,0,72.00908446165545,10.311094225441554,1,0
2019-12-01,Brampton,862258,73,3.46,64781,2.66,44,37764,9,72,5,2,1,1,61.60052522140497,8.323099107399596,1,1
2020-01-01,Brampton,988106,88,3.97,55406,1.32,49,50159,8,54,8,2,0,1,85.66479994857636,7.094862227195997,0,1
2020-02-01,Brampton,1026926,84,3.63,50525,2.76,44,71697,8,58,4,2,0,1,93.42142005072668,8.991416610939513,1,1
